status,priority,section,level,company,code,desc,notes
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🌍 全球龙头,英伟达 NVIDIA,NVDA,数据中心 GPU 市占 90%+，AI 芯片 81% | Q3 FY2026 营收 570 亿美元（数据中心 512 亿）,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🌍 全球龙二,AMD,AMD,GPU 市占约 8% | Q1 2026 营收 103 亿美元（+38%）,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🌍 全球追赶,英特尔 Intel,INTC,"独立 GPU 几乎出局 | 借""Terafab""争夺 AI 大客户",
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🌍 全球 ASIC,博通 Broadcom,AVGO,AI ASIC 定制芯片龙头 | 预测 2026 年 AI 芯片营收将达 1000 亿美元,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国龙一,海光信息,688041,国产 x86 高端处理器龙头 | 营收 40.34 亿（+68%），净利 6.87 亿,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国龙二,寒武纪,688256,国产 AI 芯片标杆 | 营收 28.85 亿（+159%），净利预增 575%,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,摩尔线程,科创板,国产 GPGPU 第二梯队 | Q1 扭亏为盈；展示 256GPU 超节点,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,沐曦股份,科创板,国产 GPGPU | 2025H1 GPU 销量超 2.5 万颗,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,壁仞科技,港股,BR100 达 PFLOPS 级别 | 已签署 12.4 亿框架协议,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,天数智芯,港股,客户超 290 家 | 2025H1 GPU 出货 1.57 万片,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,景嘉微,300474,军用 GPU → AI 芯片转型 | 国产 GPU 稀缺标的,
pending,P2,1.1 AI 算力芯片（GPU / AI 加速器）,🇨🇳 中国梯队,龙芯中科,688047,自主 LoongArch CPU + GPGPU 布局 | 自主指令集架构,
pending,P1,1.2 AI 服务器,🌍 全球 ODM 龙一,工业富联,601138,全球 AI 服务器代工市占 40%+ | 在手订单超 280 亿，排至 2028 年,
pending,P1,1.2 AI 服务器,🌍 全球 ODM 龙二,广达,2382.TW,全球 ODM 份额约 25% | 2026 年 AI 服务器三位数增长,
pending,P1,1.2 AI 服务器,🌍 全球 ODM 龙三,纬创,3231.TW,全球 ODM 份额约 16% | 2026 年 AI 服务器高双位数增长,
pending,P1,1.2 AI 服务器,🌍 全球品牌龙一,戴尔,DELL,AI 服务器品牌商龙头 | 积压订单约 430 亿美元,
pending,P1,1.2 AI 服务器,🌍 全球品牌龙二,惠普 HPE,HPE,品牌商第二梯队 | 2026 年股价 YTD+20%,
pending,P1,1.2 AI 服务器,🌍 全球品牌,超微 SMCI,SMCI,液冷 AI 服务器先锋 | 2026 年股价 YTD-7%,
pending,P1,1.2 AI 服务器,🇨🇳 中国龙二,浪潮信息,000977,国内 AI 服务器市占 52%+ | 合同负债 315 亿（+178%）,
pending,P1,1.2 AI 服务器,🇨🇳 中国梯队,中科曙光,603019,超算国家队 | 国家算力互联网平台建设主力,
pending,P1,1.2 AI 服务器,🇨🇳 中国梯队,紫光股份,000938,新华三全栈方案 | Q1 末预付款 49.51 亿,
pending,P1,1.2 AI 服务器,🇨🇳 中国梯队,华勤技术,603296,全球领先 ODM | 深度参与超节点服务器配套,
pending,P1,1.2 AI 服务器,🇨🇳 信创服务器,拓维信息,002261,华为昇腾生态服务器 | 鲲鹏+昇腾双线,
pending,P1,1.2 AI 服务器,🇨🇳 信创服务器,神州数码,000034,鲲鹏服务器 | 信创,
pending,P1,1.2 AI 服务器,🇨🇳 信创服务器,中国长城,000066,飞腾服务器 | 信创主力,
pending,P1,1.2 AI 服务器,🇨🇳 信创服务器,广电运通,002152,算力（广电五舟） | 金融信创,
pending,P2,1.3 晶圆代工与先进封装,🌍 全球绝对龙头,台积电,TSM,晶圆代工市占率 72% | CoWoS 产能 2025 年已翻倍,
pending,P2,1.3 晶圆代工与先进封装,🌍 全球龙二,三星电子,005930.KS,晶圆代工市占 6.8% | 2nm 率先量产,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 中国龙一,中芯国际,688981,全球晶圆代工第三 | 在建工程超 800 亿,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 中国龙二,华虹半导体,688347,特色代工（BCD/eNVM/IGBT） | 特色工艺龙头,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装龙一,长电科技,600584,对标台积电高端封测 | 2026 年固投预算约 100 亿,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装龙二,通富微电,002156,HBM3e 堆叠封装龙头 | 拟定增 44 亿扩存储封测,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装龙三,华天科技,002185,TSV/CIS/SiP | 封测龙三,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装梯队,甬矽电子,688362,Fan-out/SiP | 先进封装新锐,
